DATE,22K,24K,SILVER
01-02-2024,5865,6397,76.5
02-02-2024,5865,6397,76.3
03-02-2024,5865,6397,76.5
05-02-2024,5795,6322,75.5
07-02-2024,5912,6454.1,73.5
09-02-2024,5790,6316,73.5
10-02-2024,5856.9,6393.9,76.5
12-02-2024,5770,6295,74.9
       14-02-2024,5812.5,6345,75.4
       17-02-2024,5808.4,6341,75.6
       18-02-2024,5735,6273,78
       19-02-2024,5745,6272,77.5
       20-02-2024,5735,6280,77.4
       21-02-2024,5760,6288,77.2
       26-02-2024,5760,6288,76
       28-02-2024,5760,6288,75.5
01-03-2024,5773,6291,74.5
02-03-2024,5851,6388.4,76.2
04-03-2024,5875,6414,77
06-03-2024,5946,6486,74.8
08-03-2024,6025,6578,79
10-03-2024,6075,6583,78.75
11-03-2024,6075,6583,78.75
       13-03-2024,6035,6588,78.5
        15-03-2024,6060,6616,80
       18-03-2024,6035,6588,80
       20-03-2024,6080,6638,80
       22-03-2024,6135,6698,79.5
       25-03-2024,6125,6687,80.8
       28-03-2024,6170,6736,80.5
       30-03-2024,6316,6889,77.8
       31-03-2024,6302,6879.9,77.8
01-04-2024,6360,6943,81.6
03-04-2024,6410,6998,84
06-04-2024,6535,7134,87
09-04-2024,6575,7178,88
12-04-2024,6720,7336,90
15-04-2024,6705,7320,89.5
17-04-2024,6795,7418,90
19-04-2024,6764,7379,83.2
20-04-2024,6831,7450,86.5
21-04-2024,6805,7429,90
23-04-2024,6754,7368,83
25-04-2024,6717.5,7333.4,82.5
26-04-2024,6665,7276,88
27-04-2024,6685,7298,87.5
29-04-2024,6685,7307,83.9
30-04-2024,6768.6,7389.3,83.9
01-05-2024,6555,7151,85.4
03-05-2024,6641,7243,83.6
05-05-2024,6585,7183,82.1
07-05-2024,6670,7277,84.1
08-05-2024,6651,7254,83.4
10-05-2024,6706.8,7321.8,82.59
12-05-2024,6740,7351,83.8
13-05-2024,6739,7350,84.38
15-05-2024,6689,7296,84.16
16-05-2024,6785,7407,90.7
18-05-2024,6840,7380,92.5
17-05-2024,6760,7380,92.5
20-05-2024,6890,7522,92.5
22-05-2024,6830,7456,101
21-05-2024,6830,7456,100.3
24-05-2024,6640,7249,99.5
25-05-2024,6640,7249,96.5
28-05-2024,6685,7298,96
29-05-2024,6710,7325,101
31-05-2024,6670,7276,92.86
01-06-2024,6650,7255,92.6
04-06-2024,6680,7293,102.2
07-06-2024,6760,7380,100.5
08-06-2024,6570,7172,96
09-06-2024,6570,7167,90.72
11-06-2024,6584,7181,89.11
12-06-2024,6615,7222,95.8
14-06-2024,6590,7194,95
15-06-2024,6650,7260,95.6
17-06-2024,6630,7238,95.6
18-06-2024,6620,7227,96
19-06-2024,6620,7227,95.6
21-06-2024,6715,7331,98.5
22-06-2024,6635,7243,96.5
23-06-2024,6635,7243,96.5
25-06-2024,6625,7233,95.5
29-06-2024,6625,7233,94.5
30-06-2024,6625,7233,94.5
01-07-2024,6625,7233,94.7
02-07-2024,6635,7243,95.5
04-07-2024,6700,7314,97.5
05-07-2024,6700,7314,97.9
06-07-2024,6765,7385,99.3
08-07-2024,6745,7364,99.5
09-07-2024,6710,7325,99
11-07-2024,6730,7347,100
12-07-2024,6760,7380,100
13-07-2024,6760,7394,99.75
16-07-2024,6785,7407,99.5
19-07-2024,6815,7440,97.75
20-07-2024,6780,7402,96
21-07-2024,6780,7402,96
22-07-2024,6770,7391,96
23-07-2024,6745,7364,95.6
25-07-2024,6400,6987,89
26-07-2024,6400,6987,89
29-07-2024,6340,6921,89.5
30-07-2024,6320,6900,89
